Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,r_squared_yaw
0.6,0.3,-0.044444444,0.000170406,-0.003665894,-0.049107484,1.163098303,0.979484568,-1.15E-06,5.35E-05,-0.000797415,0.003827897,0.971434566,0.000480417,-0.016567808,0.09187365,0.92552345,0.976884997,-0.005841247,0.259010381,-3.615448955,15.82342679,0.980129207,0.423980126,-20.4452808,255.9890897,-343.6901277,0.370991929,6.69E-05,-0.001716109,-0.003306946,0.260700823,0.89136176
0.6,0.3,-0.066666667,-1.72E-05,0.004255034,-0.139901401,1.257610261,0.95044418,3.68E-08,-1.17E-06,4.45E-06,7.66E-05,0.123111753,0.000360341,-0.009213414,-0.016899778,1.088323111,0.938181676,0.000714858,-0.025351835,0.213202765,0.078463341,0.272487915,0.323952724,-12.32419955,120.5041349,-106.2747184,0.487040648,-4.61E-06,0.000266264,-0.005842678,0.050016745,0.90039855
0.6,0.3,-0.088888889,-3.63E-06,0.003783022,-0.135844558,1.246605904,0.973711878,7.38E-08,-2.68E-06,2.46E-05,-1.91E-05,0.21421757,0.000407971,-0.010663301,-0.007472441,1.090493261,0.901104345,0.000776789,-0.026505484,0.204826241,0.202602739,0.305341062,0.349615189,-12.9690162,122.4837564,-96.37707874,0.408582389,-6.10E-07,0.000143478,-0.004784917,0.043911377,0.918260488
0.6,0.3,-0.111111111,-7.28E-05,0.006450665,-0.162673791,1.270861746,0.94887267,6.76E-08,-2.53E-06,2.43E-05,-2.36E-05,0.350070597,0.000450581,-0.011973477,0.001174513,1.094792324,0.853608585,0.000563361,-0.018361362,0.12225461,0.326216372,0.448978462,0.386278755,-14.18351158,132.0048715,-98.76600383,0.314178238,1.85E-06,3.61E-05,-0.003455758,0.040488536,0.922307925
0.6,0.3,-0.133333333,-3.67E-05,0.0051738,-0.151336688,1.257367566,0.968957874,-1.09E-08,6.86E-07,-1.46E-05,0.000102919,0.337274243,0.00046953,-0.012439875,0.002138876,1.107980427,0.818837894,0.000579473,-0.018410172,0.113010919,0.400014608,0.360072618,0.271774461,-9.796880229,88.12508131,-47.35787343,0.452786949,2.23E-07,0.000106086,-0.004211847,0.040324681,0.963520591
0.6,0.35,-0.047619048,-2.61E-05,0.004870092,-0.149576238,1.25505604,0.966408612,-1.09E-08,6.87E-07,-1.46E-05,0.000102919,0.337265288,0.000488995,-0.012891332,0.002551196,1.124227159,0.761450731,0.00092086,-0.029994714,0.206221279,0.404977366,0.221049717,0.320900492,-11.44806922,101.3305097,-48.87775789,0.300801862,-5.14E-06,0.000308907,-0.006309017,0.044362425,0.960993127
0.6,0.35,-0.066666667,-9.85E-06,0.003963455,-0.136767598,1.256020205,0.952152799,9.18E-08,-3.31E-06,2.82E-05,1.67E-05,0.305648121,0.000342914,-0.008672936,-0.020625656,1.089406959,0.945836112,0.000274064,-0.009639562,0.076882567,0.100471592,0.499912097,0.300650499,-11.51231369,113.4173056,-99.96275779,0.53732209,5.89E-07,0.000136115,-0.005513246,0.052448109,0.954371649
0.6,0.35,-0.085714286,1.66E-07,0.003610194,-0.133749504,1.244826462,0.974312613,9.57E-08,-3.54E-06,3.34E-05,-3.10E-05,0.184761259,0.000391876,-0.010111621,-0.012112463,1.093684548,0.909773126,0.000531678,-0.01872751,0.155549029,0.06571816,0.283208047,0.328028659,-12.19008372,115.3562347,-90.28234725,0.452341315,-8.44E-07,0.000165074,-0.005235428,0.046175574,0.953281994
0.6,0.35,-0.104761905,-7.30E-05,0.006431205,-0.162136384,1.269973999,0.947034662,3.42E-08,-1.08E-06,5.46E-06,4.23E-05,0.102801176,0.000429398,-0.01119822,-0.006090439,1.101905183,0.864633237,0.00067407,-0.023209649,0.185219994,0.110927506,0.234304929,0.372571593,-13.6725303,127.1043167,-93.91936388,0.322267043,-1.34E-07,0.00011932,-0.004338079,0.041035976,0.949455549
0.6,0.35,-0.123809524,-3.24E-05,0.005001085,-0.149513265,1.255079027,0.97017936,7.16E-08,-2.56E-06,2.29E-05,-1.32E-05,0.364583563,0.000443981,-0.011477114,-0.007295889,1.118911288,0.82289196,0.000510209,-0.017140478,0.127340894,0.169054187,0.286257814,0.266679734,-9.593851557,85.98620164,-44.45394006,0.442215146,-1.19E-06,0.000154198,-0.004531109,0.039153869,0.958352747
