Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,r_squared_surge,a_sway,b_sway,c_sway,r_squared_sway,a_heave,b_heave,c_heave,r_squared_heave,a_roll,b_roll,c_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,r_squared_yaw
0.7,0.35,-0.040816327,0.35459701,0.484523886,1.135634744,0.97242564,7.068664202,-2.77E-11,3.19E-12,-0.176470588,0.352787451,0.790391671,0.839715019,0.860339818,0.354534103,0.629839424,0.083832309,0.461432151,0.263701153,143.5463226,-87.99748551,0.360319494,0.260799338,0.007219556,0.030098331,0.892746719
0.7,0.35,-0.06122449,0.357019678,0.490074264,1.133119179,0.974581188,6.65362997,-0.000167907,0.00021131,0.0625,0.35849193,0.843666541,0.820644172,0.80974593,0.354508429,0.892596433,-0.059306471,0.286353178,0.278656334,150.0581662,-86.47979194,0.340660222,0.074969663,-0.001487649,0.029766989,0.912689541
0.7,0.35,-0.081632653,0.32924344,0.453698096,1.132488901,0.961074144,5.865092198,-0.000310932,0.00039063,0.35483871,0.339911194,0.663684109,0.891442809,0.959356181,0.26040792,0.148640468,0.095244254,0.557041409,0.228895034,118.9341969,-82.37734061,0.447187662,0.30192582,0.011885624,0.037968445,0.96779273
0.7,0.35,-0.102040816,0.326633206,0.434275011,1.136697537,0.980424373,7.343591427,3.85E-12,-1.07E-12,-0.153846154,0.347162102,0.714147653,0.872694805,0.929519285,0.272987806,0.255441068,0.048890725,0.3172441,0.244040014,136.3776946,-91.01564968,0.366451901,0.289215122,0.008898636,0.032321172,0.928835787
0.7,0.35,-0.12244898,0.229850724,0.304213645,1.105673162,0.972159001,0.224921305,6.52E-05,0.000617459,0.917734891,0.221533468,0.470617587,0.833505942,0.859924824,0.320165041,0.387007267,0.793406321,0.988026065,0.183366399,289.9485961,-289.2244971,0.247369477,0.163140687,0.023887867,0.157976582,0.87759774
0.7,0.4,-0.042857143,0.229850724,0.304213645,1.105673162,0.972159001,0.224921305,6.52E-05,0.000617459,0.917734891,0.221533468,0.470617587,0.833505942,0.859924824,0.320165041,0.387007267,0.793406321,0.988026065,0.183366399,289.9485961,-289.2244971,0.247369477,0.163140687,0.023887867,0.157976582,0.87759774
0.7,0.4,-0.064285714,0.229850724,0.304213645,1.105673162,0.972159001,0.224921305,6.52E-05,0.000617459,0.917734891,0.221533468,0.470617587,0.833505942,0.859924824,0.320165041,0.387007267,0.793406321,0.988026065,0.183366399,289.9485961,-289.2244971,0.247369477,0.163140687,0.023887867,0.157976582,0.87759774
0.7,0.4,-0.085714286,0.246244611,0.329651315,1.102001537,0.970363443,0.246246114,6.07E-05,0.000297776,0.832628736,0.240195646,0.618069711,0.744687821,0.673954044,0.372859346,0.320249328,0.6083477,0.98600112,0.276260089,162.0701906,-87.24472574,0.391333691,0.21706654,0.034840525,0.152601215,0.977561158
0.7,0.4,-0.107142857,0.229850724,0.304213645,1.105673162,0.972159001,0.224921305,6.52E-05,0.000617459,0.917734891,0.221533468,0.470617587,0.833505942,0.859924824,0.320165041,0.387007267,0.793406321,0.988026065,0.183366399,289.9485961,-289.2244971,0.247369477,0.163140687,0.023887867,0.157976582,0.87759774
0.7,0.4,-0.128571429,0.229850724,0.304213645,1.105673162,0.972159001,0.224921305,6.52E-05,0.000617459,0.917734891,0.221533468,0.470617587,0.833505942,0.859924824,0.320165041,0.387007267,0.793406321,0.988026065,0.183366399,289.9485961,-289.2244971,0.247369477,0.163140687,0.023887867,0.157976582,0.87759774
0.7,0.45,-0.050793651,0.2603128,0.36117484,1.098046027,0.971892029,0.318851675,0.000110089,0.000107988,0.723329635,0.247396844,0.723804922,0.67515209,0.504813877,0.390886705,0.279313535,0.511420863,0.984126115,0.336658158,173.6272671,-74.72619804,0.291474692,0.234277563,0.036251127,0.136832139,0.97953418
0.7,0.45,-0.06984127,0.266560352,0.353329198,1.108887292,0.976542735,0.254995856,6.86E-05,0.000106374,0.679563238,0.268710103,0.792409268,0.681924803,0.580186009,0.426026045,0.303346137,0.512221283,0.975997488,0.374191136,128.5578598,-45.01964806,0.506811984,0.238403257,0.03666547,0.157934234,0.979420928
2,1,-0.15,0.557115767,0.771187611,1.11933571,0.969626196,0.99999999,-5.58E-33,6.31E-34,0,0.58400671,1.191138505,0.847642913,0.946305288,0.446919539,0.016747526,0.002755731,0.388084588,0.396825465,76.97300105,-35.05626297,0.39977023,0.46155565,0.000550231,0.001338054,0.958248108
2,1,-0.2,0.576504367,0.803644065,1.119135056,0.966843267,6.031714969,-1.46E-14,-9.48E-16,-0.052631579,0.591186272,1.259091169,0.828154574,0.917264946,0.433454122,0.066908974,-0.022169534,0.102096087,0.411441923,85.2515933,-38.29160795,0.337834708,0.206851365,-0.000101054,0.001704772,0.922038549
2,1,-0.25,0.609421483,0.848655645,1.122650771,0.972421365,0.99999999,-5.58E-33,6.31E-34,0,0.610154109,1.421046931,0.78693893,0.844261522,0.526608249,0.015946537,0.001529761,0.438667622,0.443181547,113.2164154,-49.19056219,0.209560522,0.535640122,0.000707225,0.001135354,0.967651517
2,1,-0.3,0.647740629,0.927073653,1.121147649,0.951281454,0.99999999,-5.58E-33,6.31E-34,0,0.620432366,1.489923296,0.772759153,0.825936328,0.547902011,0.017127644,0.000993166,0.360831933,0.456866543,98.80062197,-40.66117205,0.263732541,0.491395798,0.000463068,0.001124019,0.941935832
2,1,-0.35,0.552498093,0.774522376,1.115867177,0.968106815,0.999999996,3.80E-24,3.43E-25,0,0.579817355,1.152293541,0.859042385,0.960499554,0.459863439,0.006036344,0.00243241,0.724027226,0.387764578,69.54429705,-31.47958805,0.479258124,0.548968969,0.000685131,0.001104262,0.936751725
2,1,-0.4,0.56233997,0.778807118,1.119842804,0.964345564,0.999999996,3.80E-24,3.43E-25,0,0.588663614,1.210624124,0.844231589,0.943608119,0.456235886,0.007496209,0.001752126,0.446893116,0.402275579,76.69452527,-34.42267021,0.395971992,0.507165671,0.000642326,0.001146528,0.945350766
2,1.15,-0.130434783,0.569888696,0.786665501,1.120545418,0.96798649,0.999999996,3.80E-24,3.43E-25,0,0.596683999,1.268718924,0.829450294,0.922476312,0.490840056,0.008457304,0.00209748,0.501027617,0.416284574,81.30075386,-35.72593133,0.371490187,0.386953445,0.000185035,0.001557186,0.94392103
2,1.15,-0.173913043,0.568865221,0.779030593,1.120611757,0.978400707,,,,,0.604778535,1.328199265,0.814897937,0.898260879,0.478301601,0.01192562,0.000234159,0.243446971,0.434452386,84.59963177,-35.82814011,0.36314621,0.492422622,5.42E-08,0.002104735,0.888756689
2,1.15,-0.217391304,0.580514893,0.7962774,1.121315685,0.980037064,0.999999996,3.80E-24,3.43E-25,0,0.610885041,1.383675583,0.800604453,0.87311531,0.460605175,0.016414039,-0.00202583,0.165426262,0.442897664,97.4701712,-41.4828224,0.266377603,0.441019474,0.000189509,0.001363485,0.918760469
2,1.15,-0.260869565,0.620250995,0.866211168,1.123881293,0.964020676,0.999999996,3.80E-24,3.43E-25,0,0.618407172,1.441462343,0.787311806,0.852862276,0.51204046,0.011405168,0.001019656,0.385968328,0.446806946,109.0019771,-46.72760376,0.219068299,0.430776289,2.35E-08,0.001969928,0.928331718
